date,station_id,sessions,estimated_revenue_brl,failed_attempts
2026-07-02,CPZON22,2,53.4,0
2026-07-02,CPMADRI001,4,307.68,0
2026-07-03,CPMADRI001,16,1280.55,1
2026-07-03,CPZON22,13,833.6,0
2026-07-03,1125951818,2,64.19,0
2026-07-03,CPONENG30,3,234.8,0
2026-07-04,CPMADRI001,13,843.04,0
2026-07-04,1125951818,4,82.05,0
2026-07-04,CPZON22,5,345.2,0
2026-07-04,CPONENG30,2,65.2,0
2026-07-05,CPONENG30,3,181.0,0
2026-07-05,CPMADRI001,12,828.51,1
2026-07-05,CPZON22,6,593.0,0
2026-07-05,1125951818,1,11.8,0
2026-07-06,CPZON22,6,671.4,0
2026-07-06,CPMADRI001,9,692.39,0
2026-07-06,CPONENG30,6,520.4,1
2026-07-06,1125951818,2,38.96,0
2026-07-07,CPZON22,9,941.8,1
2026-07-07,CPMADRI001,10,456.41,1
2026-07-07,1125951818,2,57.24,0
2026-07-07,CPONENG30,1,49.2,0
2026-07-08,CPONENG30,5,438.8,0
2026-07-08,CPMADRI001,14,1024.48,0
2026-07-08,CPZON22,8,686.0,0
2026-07-08,1125951818,4,60.02,0
2026-07-09,CPMADRI001,15,975.35,0
2026-07-09,CPZON22,9,669.6,1
2026-07-09,1125951818,2,18.36,0
2026-07-09,CPONENG30,2,232.0,0
2026-07-10,CPMADRI001,14,1065.78,0
2026-07-10,CPZON22,10,1027.2,0
2026-07-10,CPONENG30,2,141.4,0
2026-07-10,1125951818,1,27.7,1
2026-07-11,CPMADRI001,21,1541.86,0
2026-07-11,CPZON22,9,741.8,0
2026-07-11,CPONENG30,3,261.2,0
2026-07-11,1125951818,2,43.48,0
2026-07-12,CPMADRI001,15,935.73,0
2026-07-12,CPZON22,10,780.4,1
2026-07-12,CPONENG30,2,120.2,0
2026-07-12,1125951818,2,32.63,0
2026-07-13,CPZON22,6,510.4,0
2026-07-13,CPMADRI001,24,1498.05,0
2026-07-13,CPONENG30,3,222.0,0
2026-07-13,1125951818,2,69.79,0
2026-07-14,CPMADRI001,9,661.71,0
2026-07-14,1125951818,4,72.74,0
2026-07-14,CPZON22,12,980.6,0
2026-07-14,CPONENG30,2,139.4,0
2026-07-15,CPMADRI001,12,861.05,0
2026-07-15,CPONENG30,2,114.8,0
2026-07-15,CPZON22,5,457.2,0
2026-07-15,1125951818,3,52.82,0
2026-07-16,CPZON22,11,906.8,0
2026-07-16,CPMADRI001,15,996.22,0
2026-07-16,CPONENG30,2,127.8,1
2026-07-16,1125951818,2,17.53,0
2026-07-17,CPMADRI001,15,1038.45,1
2026-07-17,CPONENG30,2,156.6,0
2026-07-17,CPZON22,4,324.2,0
2026-07-17,1125951818,1,37.31,1
